p_val,T0,outcome,treated,from,to
1.999600079984003e-4,89,DAA,ES,2022-07-01,2022-12-01
5.998800239952009e-4,89,DAA,ES,2023-01-01,2023-06-01
0.009398120375924815,108,NRG,ES,2022-07-01,2022-12-01
0.05418916216756649,108,NRG,ES,2023-01-01,2023-06-01
0.030193961207758448,108,CP00xNRG,ES,2022-07-01,2022-12-01
0.6028794241151769,108,CP00xNRG,ES,2023-01-01,2023-06-01
5.998800239952009e-4,108,CP00,ES,2022-07-01,2022-12-01
0.3843231353729254,108,CP00,ES,2023-01-01,2023-06-01
5.998800239952009e-4,89,DAA,PT,2022-07-01,2022-12-01
0.0011997600479904018,89,DAA,PT,2023-01-01,2023-06-01
0.4617076584683063,108,NRG,PT,2022-07-01,2022-12-01
1.999600079984003e-4,108,NRG,PT,2023-01-01,2023-06-01
0.813237352529494,108,CP00xNRG,PT,2022-07-01,2022-12-01
0.30453909218156366,108,CP00xNRG,PT,2023-01-01,2023-06-01
0.23955208958208357,108,CP00,PT,2022-07-01,2022-12-01
0.010797840431913617,108,CP00,PT,2023-01-01,2023-06-01
