control_unit,weight,treated,outcome,placebo
AT,0,ES,DAP,FALSE
BE,0.1724736616299403,ES,DAP,FALSE
CZ,0,ES,DAP,FALSE
DE,0,ES,DAP,FALSE
DK,0,ES,DAP,FALSE
EE,0,ES,DAP,FALSE
EL,0.13656454543339228,ES,DAP,FALSE
FI,0,ES,DAP,FALSE
HU,0,ES,DAP,FALSE
IT,0.03931844717572111,ES,DAP,FALSE
LT,0,ES,DAP,FALSE
LU,0,ES,DAP,FALSE
LV,0.01568914829146401,ES,DAP,FALSE
NL,0.10351751832105545,ES,DAP,FALSE
NO,0,ES,DAP,FALSE
PL,0,ES,DAP,FALSE
RO,0,ES,DAP,FALSE
SE,0.006546452372810825,ES,DAP,FALSE
SI,0.5258902267256631,ES,DAP,FALSE
SK,0,ES,DAP,FALSE
AT,0,ES,NRG,FALSE
BE,0,ES,NRG,FALSE
BG,0,ES,NRG,FALSE
CZ,0,ES,NRG,FALSE
DE,0,ES,NRG,FALSE
DK,0.1667437379154525,ES,NRG,FALSE
EE,0,ES,NRG,FALSE
EL,0,ES,NRG,FALSE
FI,0,ES,NRG,FALSE
HR,0,ES,NRG,FALSE
HU,0.05404780588682752,ES,NRG,FALSE
IE,0,ES,NRG,FALSE
IT,0.10509004097162618,ES,NRG,FALSE
LT,0.13155799401315185,ES,NRG,FALSE
LU,0.3432769798325014,ES,NRG,FALSE
LV,0,ES,NRG,FALSE
NL,0.15225233104646077,ES,NRG,FALSE
NO,0.04703111033398252,ES,NRG,FALSE
PL,0,ES,NRG,FALSE
RO,0,ES,NRG,FALSE
SE,0,ES,NRG,FALSE
SI,0,ES,NRG,FALSE
SK,0,ES,NRG,FALSE
AT,0,ES,xNRG,FALSE
BE,0,ES,xNRG,FALSE
BG,0,ES,xNRG,FALSE
CZ,0,ES,xNRG,FALSE
DE,0,ES,xNRG,FALSE
DK,0,ES,xNRG,FALSE
EE,0.1115021667665445,ES,xNRG,FALSE
EL,0,ES,xNRG,FALSE
FI,0,ES,xNRG,FALSE
HR,0,ES,xNRG,FALSE
HU,0,ES,xNRG,FALSE
IE,0,ES,xNRG,FALSE
IT,0.6092206905827771,ES,xNRG,FALSE
LT,0,ES,xNRG,FALSE
LU,0,ES,xNRG,FALSE
LV,0.022831474680130633,ES,xNRG,FALSE
NL,0,ES,xNRG,FALSE
NO,0,ES,xNRG,FALSE
PL,0,ES,xNRG,FALSE
RO,0.03784525930450189,ES,xNRG,FALSE
SE,0,ES,xNRG,FALSE
SI,0.21860040866604544,ES,xNRG,FALSE
SK,0,ES,xNRG,FALSE
AT,0,ES,CP00,FALSE
BE,0,ES,CP00,FALSE
BG,0,ES,CP00,FALSE
CZ,0,ES,CP00,FALSE
DE,0,ES,CP00,FALSE
DK,0,ES,CP00,FALSE
EE,0.0033233802904788917,ES,CP00,FALSE
EL,0.08273322884528204,ES,CP00,FALSE
FI,0,ES,CP00,FALSE
HR,0,ES,CP00,FALSE
HU,0,ES,CP00,FALSE
IE,0,ES,CP00,FALSE
IT,0.5223113899451822,ES,CP00,FALSE
LT,0.16789822151615608,ES,CP00,FALSE
LU,0.20873779987419372,ES,CP00,FALSE
LV,0,ES,CP00,FALSE
NL,0,ES,CP00,FALSE
NO,0,ES,CP00,FALSE
PL,0,ES,CP00,FALSE
RO,0,ES,CP00,FALSE
SE,0,ES,CP00,FALSE
SI,0.01499597952870678,ES,CP00,FALSE
SK,0,ES,CP00,FALSE
AT,0,PT,DAP,FALSE
BE,0.18351325182123857,PT,DAP,FALSE
CZ,0,PT,DAP,FALSE
DE,0,PT,DAP,FALSE
DK,0,PT,DAP,FALSE
EE,0,PT,DAP,FALSE
EL,0.14783156601340242,PT,DAP,FALSE
FI,0,PT,DAP,FALSE
HU,0,PT,DAP,FALSE
IT,0.03816875327965547,PT,DAP,FALSE
LT,0,PT,DAP,FALSE
LU,0,PT,DAP,FALSE
LV,0.012639370327410304,PT,DAP,FALSE
NL,0.09447882081156744,PT,DAP,FALSE
NO,0,PT,DAP,FALSE
PL,0,PT,DAP,FALSE
RO,0,PT,DAP,FALSE
SE,0.007104768251774796,PT,DAP,FALSE
SI,0.5162634694447028,PT,DAP,FALSE
SK,0,PT,DAP,FALSE
AT,0,PT,NRG,FALSE
BE,0,PT,NRG,FALSE
BG,0,PT,NRG,FALSE
CZ,0,PT,NRG,FALSE
DE,0,PT,NRG,FALSE
DK,0.12914726455846354,PT,NRG,FALSE
EE,0,PT,NRG,FALSE
EL,0,PT,NRG,FALSE
FI,0,PT,NRG,FALSE
HR,0.7191396048097437,PT,NRG,FALSE
HU,0,PT,NRG,FALSE
IE,0,PT,NRG,FALSE
IT,0,PT,NRG,FALSE
LT,0,PT,NRG,FALSE
LU,0,PT,NRG,FALSE
LV,0.038246092528241175,PT,NRG,FALSE
NL,0,PT,NRG,FALSE
NO,0,PT,NRG,FALSE
PL,0,PT,NRG,FALSE
RO,0,PT,NRG,FALSE
SE,0,PT,NRG,FALSE
SI,0,PT,NRG,FALSE
SK,0.11346703810355191,PT,NRG,FALSE
AT,0,PT,xNRG,FALSE
BE,0,PT,xNRG,FALSE
BG,0,PT,xNRG,FALSE
CZ,0,PT,xNRG,FALSE
DE,0,PT,xNRG,FALSE
DK,0.12853372890209763,PT,xNRG,FALSE
EE,0.18679878549887163,PT,xNRG,FALSE
EL,0,PT,xNRG,FALSE
FI,0,PT,xNRG,FALSE
HR,0,PT,xNRG,FALSE
HU,0,PT,xNRG,FALSE
IE,0,PT,xNRG,FALSE
IT,0.68466748559903,PT,xNRG,FALSE
LT,0,PT,xNRG,FALSE
LU,0,PT,xNRG,FALSE
LV,0,PT,xNRG,FALSE
NL,0,PT,xNRG,FALSE
NO,0,PT,xNRG,FALSE
PL,0,PT,xNRG,FALSE
RO,0,PT,xNRG,FALSE
SE,0,PT,xNRG,FALSE
SI,0,PT,xNRG,FALSE
SK,0,PT,xNRG,FALSE
AT,0,PT,CP00,FALSE
BE,0,PT,CP00,FALSE
BG,0,PT,CP00,FALSE
CZ,0,PT,CP00,FALSE
DE,0,PT,CP00,FALSE
DK,0.39354824157242935,PT,CP00,FALSE
EE,0,PT,CP00,FALSE
EL,0,PT,CP00,FALSE
FI,0,PT,CP00,FALSE
HR,0,PT,CP00,FALSE
HU,0,PT,CP00,FALSE
IE,0,PT,CP00,FALSE
IT,0.5275932533982911,PT,CP00,FALSE
LT,0,PT,CP00,FALSE
LU,0,PT,CP00,FALSE
LV,0,PT,CP00,FALSE
NL,0,PT,CP00,FALSE
NO,0.07885850502927705,PT,CP00,FALSE
PL,0,PT,CP00,FALSE
RO,0,PT,CP00,FALSE
SE,0,PT,CP00,FALSE
SI,0,PT,CP00,FALSE
SK,0,PT,CP00,FALSE
