outcome,unit,att_ES,se_ES,lb_ES,ub_ES,att_PT,se_PT,lb_PT,ub_PT
DAP,abs,-43.015032943797294,0.22118333587625544,-44.41152956570688,-41.61853632188771,-42.28425383451937,0.30467611515506376,-44.20790311806496,-40.360604550973775
DAP,pct,-37.37693402633602,NA,NA,NA,-36.500047415494954,NA,NA,NA
NRG,abs,-13.976373684374543,0.6376816104792552,-18.002536918418357,-9.95021045033073,-12.335925285725676,7.2604989599684195,-58.176911591522824,33.505061020071466
NRG,pct,-10.184189049793455,NA,NA,NA,-9.709198675937534,NA,NA,NA
NRG,rate,-15.62309819026652,NA,NA,NA,-7.1696558914108115,NA,NA,NA
xNRG,abs,-1.8477192513026135,0.3376601246247688,-3.9796213745976097,0.2841828719923827,-0.5055476692267732,0.9972698164559304,-6.802061483415101,5.790966144961554
xNRG,pct,-1.5652469588701177,NA,NA,NA,-0.42796961679105805,NA,NA,NA
xNRG,rate,-1.2796146208542307,NA,NA,NA,9.303245858591769e-4,NA,NA,NA
CP00,abs,-3.320629212960858,0.09499328542393552,-3.9203932126901897,-2.720865213231527,-1.5047513077556711,0.9374414194547313,-7.423523489757097,4.414020874245755
CP00,pct,-2.7528988774618917,NA,NA,NA,-1.2637322861425617,NA,NA,NA
CP00,rate,-3.1350577731539855,NA,NA,NA,-0.6859038796949212,NA,NA,NA
